consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,trial.started,trial.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training2.started,training2.stopped,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q12,language_background_q.block_1/Q3,language_background_q.block_1/Q5,language_background_q.block_1/Q6,language_background_q.block_1/question1,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q23,language_background_q.block_1/Q48,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q59,language_background_q.block_1/Q62,language_background_q.block_1/Q63,language_background_q.block_1/Q64,language_background_q.block_1/Q56,language_background_q.block_1/Q57,language_background_q.block_1/Q58,language_background_q.block_1/Q60
,053276,001,2026-04-03_11h04.21.768,DFv2,2026.1.1,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,82,FICKLE,hard,,,,,,,,456.9783,458.0276,m,0.5295,,0,23,23,81,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,053276,001,2026-04-03_11h04.21.768,DFv2,2026.1.1,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,23,DECLINE,easy,,,,,,,,458.0285,459.2111,m,0.6472,,0,24,24,22,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,053276,001,2026-04-03_11h04.21.768,DFv2,2026.1.1,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,74,AMPLIFY,hard,,,,,,,,459.212,460.8276,m,1.0804,,0,25,25,73,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,053276,001,2026-04-03_11h04.21.768,DFv2,2026.1.1,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,1,LEADER,easy,,,,,,,,460.8285,462.194,m,0.8393,,0,26,26,0,1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,053276,001,2026-04-03_11h04.21.768,DFv2,2026.1.1,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,33,TORPID,hard,,,,,,,,462.1947,463.3776,m,0.6463,,0,27,27,32,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,053276,001,2026-04-03_11h04.21.768,DFv2,2026.1.1,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,64,EXAMINE,easy,,,,,,,,463.3787,465.0609,m,1.1477,,0,28,28,63,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,053276,001,2026-04-03_11h04.21.768,DFv2,2026.1.1,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,66,RURAL,easy,,,,,,,,465.0621,466.2444,m,0.6503,,0,29,29,65,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,053276,001,2026-04-03_11h04.21.768,DFv2,2026.1.1,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,25,PROFANE,hard,,,,,,,,466.2456,467.3766,m,0.5954,,0,30,30,24,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,053276,001,2026-04-03_11h04.21.768,DFv2,2026.1.1,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,91,OPULENT,hard,,,,,,,,467.3775,468.4943,m,0.5979,,0,31,31,90,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,053276,001,2026-04-03_11h04.21.768,DFv2,2026.1.1,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,12,BELIEF,easy,,,,,,,,468.4953,469.4766,m,0.4463,,0,32,32,11,1,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
